radians	I
1.449549	19.659880
1.450820	19.754340
1.452090	19.714490
1.453361	19.756820
1.454631	19.724030
1.455902	19.808240
1.457173	19.737320
1.458443	19.648300
1.459714	19.796710
1.460984	19.800820
1.462255	19.775500
1.463525	19.827950
1.464796	19.809550
1.466067	19.986720
1.467337	20.077870
1.468608	20.035980
1.469878	20.079400
1.471149	20.118290
1.472420	20.011280
1.473690	19.970620
1.474961	20.091100
1.476231	20.219330
1.477502	20.209160
1.478773	20.126440
1.480043	20.015530
1.481314	19.957230
1.482584	19.992880
1.483855	20.053960
1.485125	20.019090
1.486396	19.999710
1.487667	20.276050
1.488937	20.379410
1.490208	20.410800
1.491478	20.544050
1.492749	20.511600
1.494020	20.564930
1.495290	20.547160
1.496561	20.545510
1.497831	20.722890
1.499102	20.808060
1.500373	20.820100
1.501643	20.889040
1.502914	20.876300
1.504184	20.883070
1.505455	21.044720
1.506725	21.240020
1.507996	21.128230
1.509267	21.193650
1.510537	21.286980
1.511808	21.256680
1.513078	21.208160
1.514349	21.043960
1.515620	21.024010
1.516890	20.985780
1.518161	21.048550
1.519431	20.946830
1.520702	20.878300
1.521972	20.917710
1.523243	20.964360
1.524514	21.055190
1.525784	21.056260
1.527055	21.005340
1.528325	20.937580
1.529596	20.907380
1.530867	21.121420
1.532137	21.210330
1.533408	21.305120
1.534678	21.669830
1.535949	21.770490
1.537220	21.794740
1.538490	21.853290
1.539761	21.895100
1.541031	22.027590
1.542302	22.273580
1.543572	22.196870
1.544843	22.090390
1.546114	22.131090
1.547384	21.895910
1.548655	21.801460
1.549925	21.750180
1.551196	21.895890
1.552467	22.026320
1.553737	22.122220
1.555008	22.162670
1.556278	22.148650
1.557549	22.183250
1.558820	22.203130
1.560090	22.544300
1.561361	22.497820
1.562631	22.428910
1.563902	22.534130
1.565172	22.560390
1.566443	22.373870
1.567714	22.373900
1.568984	22.419480
1.570255	22.508650
1.571525	22.490610
1.572796	22.499800
1.574067	22.563280
1.575337	22.550720
1.576608	22.619230
1.577878	22.586720
1.579149	22.650680
1.580419	22.606090
1.581690	22.616830
1.582961	22.483050
1.584231	22.461150
1.585502	22.470000
1.586772	22.513500
1.588043	22.476530
1.589314	22.450320
1.590584	22.499480
1.591855	22.534300
1.593125	22.627330
1.594396	22.629310
1.595667	22.638840
1.596937	22.703590
1.598208	22.924580
1.599478	22.933560
1.600749	22.943660
1.602019	23.143490
1.603290	23.226720
1.604561	23.348480
1.605831	23.276070
1.607102	23.295340
1.608372	23.370940
1.609643	23.474520
1.610914	23.389280
1.612184	23.178850
1.613455	23.068650
1.614725	23.048070
1.615996	23.120570
1.617267	23.130210
1.618537	23.095160
1.619808	23.132660
1.621078	23.171830
1.622349	23.135570
1.623619	23.077250
1.624890	23.126290
1.626161	23.342910
1.627431	23.519210
1.628702	23.553280
1.629972	23.600460
1.631243	23.634860
1.632514	23.653830
1.633784	23.750070
1.635055	23.805350
1.636325	23.740740
1.637596	23.828580
1.638866	23.908430
1.640137	23.814890
1.641408	23.752620
1.642678	23.830170
1.643949	23.941570
1.645219	24.000500
1.646490	24.167900
1.647761	24.278330
1.649031	24.246340
1.650302	24.250050
1.651572	24.359710
1.652843	24.496610
1.654114	24.629020
1.655384	24.817240
1.656655	25.052730
1.657925	25.190970
1.659196	25.148530
1.660466	25.107090
1.661737	25.179100
1.663008	25.126050
1.664278	25.292160
1.665549	25.449020
1.666819	25.462820
1.668090	25.581300
1.669361	25.716620
1.670631	25.544950
1.671902	25.429710
1.673172	25.299720
1.674443	25.159240
1.675714	25.216840
1.676984	25.127230
1.678255	25.018030
1.679525	25.014110
1.680796	24.863320
1.682066	24.867860
1.683337	24.837420
1.684608	24.878460
1.685878	25.084280
1.687149	25.021050
1.688419	25.034580
1.689690	25.269980
1.690961	25.207580
1.692231	25.164390
1.693502	25.218430
1.694772	25.212930
1.696043	25.211980
1.697313	25.290190
1.698584	25.427310
1.699855	25.457710
1.701125	25.475310
1.702396	25.546420
1.703666	25.456030
1.704937	25.474130
1.706208	25.564850
1.707478	25.595260
1.708749	25.571130
1.710019	25.574260
1.711290	25.629390
1.712561	25.746070
1.713831	25.840360
1.715102	25.886700
1.716372	25.917110
1.717643	26.114570
1.718913	26.401140
1.720184	26.487120
1.721455	26.655220
1.722725	26.610430
1.723996	26.616520
1.725266	26.696460
1.726537	26.705720
1.727808	26.867930
1.729078	26.880610
1.730349	26.691680
1.731619	26.574930
1.732890	26.660250
1.734161	26.698070
1.735431	26.798610
1.736702	27.008610
1.737972	27.095590
1.739243	27.246120
1.740513	27.377030
1.741784	27.426780
1.743055	27.396330
1.744325	27.602150
1.745596	27.724630
1.746866	27.832640
1.748137	27.863900
1.749408	28.001710
1.750678	28.097490
1.751949	28.134630
1.753219	28.079990
1.754490	28.126110
1.755760	28.197230
1.757031	28.310750
1.758302	28.486870
1.759572	28.817480
1.760843	28.913410
1.762113	28.812350
1.763384	28.672020
1.764655	28.575130
1.765925	28.692830
1.767196	28.843050
1.768466	28.801390
1.769737	28.890730
1.771008	29.126780
1.772278	29.177450
1.773549	29.127240
1.774819	29.242420
1.776090	29.318290
1.777360	29.436860
1.778631	29.625510
1.779902	29.750190
1.781172	29.863980
1.782443	29.867120
1.783713	29.884800
1.784984	29.869830
1.786255	29.745780
1.787525	29.723270
1.788796	29.756120
1.790066	29.831400
1.791337	29.958260
1.792608	30.024780
1.793878	30.077790
1.795149	30.133250
1.796419	30.303930
1.797690	30.393760
1.798960	30.526810
1.800231	30.493920
